model,batch_size,seq_len,op_name,shape,count
bert,1,128,aten::add,"[[1, 129, 768], [1, 129, 768], []]",50
bert,1,128,aten::add_,"[[1, 129, 768], [1, 129, 768], []]",2
bert,1,128,aten::all,"[[1, 129]]",2
bert,1,128,aten::dropout,"[[1, 129, 768], [], []]",50
bert,1,128,aten::embedding,"[[2, 768], [1, 129], [], [], []]",2
bert,1,128,aten::embedding,"[[30522, 768], [1, 129], [], [], []]",2
bert,1,128,aten::embedding,"[[512, 768], [1, 129], [], [], []]",2
bert,1,128,aten::eq,"[[1, 129], []]",2
bert,1,128,aten::gelu,"[[1, 129, 3072], []]",24
bert,1,128,aten::gelu,"[[1, 129, 768], []]",2
bert,1,128,aten::is_nonzero,[[]],2
bert,1,128,aten::layer_norm,"[[1, 129, 768], [], [768], [768], [], []]",52
bert,1,128,aten::permute,"[[1, 129, 12, 64], []]",72
bert,1,128,aten::reshape,"[[1, 129, 12, 64], []]",24
bert,1,128,aten::reshape,"[[1, 129, 3072], []]",24
bert,1,128,aten::reshape,"[[1, 129, 768], []]",124
bert,1,128,aten::reshape,"[[1, 129], []]",6
bert,1,128,aten::slice,"[[1, 512], [], [], [], []]",4
bert,1,128,aten::transpose,"[[1, 12, 129, 64], [], []]",96
bert,1,128,aten::transpose,"[[1, 129, 12, 64], [], []]",24
bert,1,128,aten::transpose,"[[30522, 768], [], []]",2
bert,1,128,aten::transpose,"[[3072, 768], [], []]",24
bert,1,128,aten::transpose,"[[768, 3072], [], []]",24
bert,1,128,aten::transpose,"[[768, 768], [], []]",98
bert,1,128,aten::view,"[[1, 129, 12, 64], []]",24
bert,1,128,aten::view,"[[1, 129, 3072], []]",24
bert,1,128,aten::view,"[[1, 129, 768], []]",196
bert,1,128,aten::view,"[[1, 129], []]",6
bert,1,128,aten::view,"[[129, 30522], []]",2
bert,1,128,aten::view,"[[129, 3072], []]",24
bert,1,128,aten::view,"[[129, 768], []]",128
bert,1,128,aten::view,"[[129], []]",104
bert,1,128,cudadevicesynchronize,[],3
bert,2,128,aten::add,"[[1, 129, 768], [1, 129, 768], []]",50
bert,2,128,aten::add_,"[[1, 129, 768], [1, 129, 768], []]",2
bert,2,128,aten::all,"[[1, 129]]",2
bert,2,128,aten::dropout,"[[1, 129, 768], [], []]",50
bert,2,128,aten::embedding,"[[2, 768], [1, 129], [], [], []]",2
bert,2,128,aten::embedding,"[[30522, 768], [1, 129], [], [], []]",2
bert,2,128,aten::embedding,"[[512, 768], [1, 129], [], [], []]",2
bert,2,128,aten::eq,"[[1, 129], []]",2
bert,2,128,aten::gelu,"[[1, 129, 3072], []]",24
bert,2,128,aten::gelu,"[[1, 129, 768], []]",2
bert,2,128,aten::is_nonzero,[[]],2
bert,2,128,aten::layer_norm,"[[1, 129, 768], [], [768], [768], [], []]",52
bert,2,128,aten::permute,"[[1, 129, 12, 64], []]",72
bert,2,128,aten::reshape,"[[1, 129, 12, 64], []]",24
bert,2,128,aten::reshape,"[[1, 129, 3072], []]",24
bert,2,128,aten::reshape,"[[1, 129, 768], []]",124
bert,2,128,aten::reshape,"[[1, 129], []]",6
bert,2,128,aten::slice,"[[1, 512], [], [], [], []]",4
bert,2,128,aten::transpose,"[[1, 12, 129, 64], [], []]",96
bert,2,128,aten::transpose,"[[1, 129, 12, 64], [], []]",24
bert,2,128,aten::transpose,"[[30522, 768], [], []]",2
bert,2,128,aten::transpose,"[[3072, 768], [], []]",24
bert,2,128,aten::transpose,"[[768, 3072], [], []]",24
bert,2,128,aten::transpose,"[[768, 768], [], []]",98
bert,2,128,aten::view,"[[1, 129, 12, 64], []]",24
bert,2,128,aten::view,"[[1, 129, 3072], []]",24
bert,2,128,aten::view,"[[1, 129, 768], []]",196
bert,2,128,aten::view,"[[1, 129], []]",6
bert,2,128,aten::view,"[[129, 30522], []]",2
bert,2,128,aten::view,"[[129, 3072], []]",24
bert,2,128,aten::view,"[[129, 768], []]",128
bert,2,128,aten::view,"[[129], []]",104
bert,2,128,cudadevicesynchronize,[],3
bert,4,128,aten::add,"[[1, 129, 768], [1, 129, 768], []]",50
bert,4,128,aten::add_,"[[1, 129, 768], [1, 129, 768], []]",2
bert,4,128,aten::all,"[[1, 129]]",2
bert,4,128,aten::dropout,"[[1, 129, 768], [], []]",50
bert,4,128,aten::embedding,"[[2, 768], [1, 129], [], [], []]",2
bert,4,128,aten::embedding,"[[30522, 768], [1, 129], [], [], []]",2
bert,4,128,aten::embedding,"[[512, 768], [1, 129], [], [], []]",2
bert,4,128,aten::eq,"[[1, 129], []]",2
bert,4,128,aten::gelu,"[[1, 129, 3072], []]",24
bert,4,128,aten::gelu,"[[1, 129, 768], []]",2
bert,4,128,aten::is_nonzero,[[]],2
bert,4,128,aten::layer_norm,"[[1, 129, 768], [], [768], [768], [], []]",52
bert,4,128,aten::permute,"[[1, 129, 12, 64], []]",72
bert,4,128,aten::reshape,"[[1, 129, 12, 64], []]",24
bert,4,128,aten::reshape,"[[1, 129, 3072], []]",24
bert,4,128,aten::reshape,"[[1, 129, 768], []]",124
bert,4,128,aten::reshape,"[[1, 129], []]",6
bert,4,128,aten::slice,"[[1, 512], [], [], [], []]",4
bert,4,128,aten::transpose,"[[1, 12, 129, 64], [], []]",96
bert,4,128,aten::transpose,"[[1, 129, 12, 64], [], []]",24
bert,4,128,aten::transpose,"[[30522, 768], [], []]",2
bert,4,128,aten::transpose,"[[3072, 768], [], []]",24
bert,4,128,aten::transpose,"[[768, 3072], [], []]",24
bert,4,128,aten::transpose,"[[768, 768], [], []]",98
bert,4,128,aten::view,"[[1, 129, 12, 64], []]",24
bert,4,128,aten::view,"[[1, 129, 3072], []]",24
bert,4,128,aten::view,"[[1, 129, 768], []]",196
bert,4,128,aten::view,"[[1, 129], []]",6
bert,4,128,aten::view,"[[129, 30522], []]",2
bert,4,128,aten::view,"[[129, 3072], []]",24
bert,4,128,aten::view,"[[129, 768], []]",128
bert,4,128,aten::view,"[[129], []]",104
bert,4,128,cudadevicesynchronize,[],3
bert,8,128,aten::add,"[[1, 129, 768], [1, 129, 768], []]",50
bert,8,128,aten::add_,"[[1, 129, 768], [1, 129, 768], []]",2
bert,8,128,aten::all,"[[1, 129]]",2
bert,8,128,aten::dropout,"[[1, 129, 768], [], []]",50
bert,8,128,aten::embedding,"[[2, 768], [1, 129], [], [], []]",2
bert,8,128,aten::embedding,"[[30522, 768], [1, 129], [], [], []]",2
bert,8,128,aten::embedding,"[[512, 768], [1, 129], [], [], []]",2
bert,8,128,aten::eq,"[[1, 129], []]",2
bert,8,128,aten::gelu,"[[1, 129, 3072], []]",24
bert,8,128,aten::gelu,"[[1, 129, 768], []]",2
bert,8,128,aten::is_nonzero,[[]],2
bert,8,128,aten::layer_norm,"[[1, 129, 768], [], [768], [768], [], []]",52
bert,8,128,aten::permute,"[[1, 129, 12, 64], []]",72
bert,8,128,aten::reshape,"[[1, 129, 12, 64], []]",24
bert,8,128,aten::reshape,"[[1, 129, 3072], []]",24
bert,8,128,aten::reshape,"[[1, 129, 768], []]",124
bert,8,128,aten::reshape,"[[1, 129], []]",6
bert,8,128,aten::slice,"[[1, 512], [], [], [], []]",4
bert,8,128,aten::transpose,"[[1, 12, 129, 64], [], []]",96
bert,8,128,aten::transpose,"[[1, 129, 12, 64], [], []]",24
bert,8,128,aten::transpose,"[[30522, 768], [], []]",2
bert,8,128,aten::transpose,"[[3072, 768], [], []]",24
bert,8,128,aten::transpose,"[[768, 3072], [], []]",24
bert,8,128,aten::transpose,"[[768, 768], [], []]",98
bert,8,128,aten::view,"[[1, 129, 12, 64], []]",24
bert,8,128,aten::view,"[[1, 129, 3072], []]",24
bert,8,128,aten::view,"[[1, 129, 768], []]",196
bert,8,128,aten::view,"[[1, 129], []]",6
bert,8,128,aten::view,"[[129, 30522], []]",2
bert,8,128,aten::view,"[[129, 3072], []]",24
bert,8,128,aten::view,"[[129, 768], []]",128
bert,8,128,aten::view,"[[129], []]",104
bert,8,128,cudadevicesynchronize,[],3
detr,1,,aten::add,"[[1, 1, 136], [], []]",2
detr,1,,aten::add,"[[1, 1, 272], [], []]",2
detr,1,,aten::add,"[[1, 1, 34], [], []]",2
detr,1,,aten::add,"[[1, 1, 68], [], []]",2
detr,1,,aten::add,"[[1, 100, 1], [], []]",2
detr,1,,aten::add,"[[1, 100, 256], [1, 100, 256], []]",60
detr,1,,aten::add,"[[1, 1024, 1, 1], [], []]",14
detr,1,,aten::add,"[[1, 1024, 50, 68], [1, 1024, 1, 1], []]",14
detr,1,,aten::add,"[[1, 128, 1, 1], [], []]",16
detr,1,,aten::add,"[[1, 128, 100, 136], [1, 128, 1, 1], []]",14
detr,1,,aten::add,"[[1, 128, 200, 272], [1, 128, 1, 1], []]",2
detr,1,,aten::add,"[[1, 200, 1], [], []]",2
detr,1,,aten::add,"[[1, 2048, 1, 1], [], []]",8
detr,1,,aten::add,"[[1, 2048, 25, 34], [1, 2048, 1, 1], []]",8
detr,1,,aten::add,"[[1, 25, 1], [], []]",2
detr,1,,aten::add,"[[1, 256, 1, 1], [], []]",32
detr,1,,aten::add,"[[1, 256, 100, 136], [1, 256, 1, 1], []]",2
detr,1,,aten::add,"[[1, 256, 200, 272], [1, 256, 1, 1], []]",8
detr,1,,aten::add,"[[1, 256, 50, 68], [1, 256, 1, 1], []]",22
detr,1,,aten::add,"[[1, 50, 1], [], []]",2
detr,1,,aten::add,"[[1, 512, 1, 1], [], []]",22
detr,1,,aten::add,"[[1, 512, 100, 136], [1, 512, 1, 1], []]",10
detr,1,,aten::add,"[[1, 512, 25, 34], [1, 512, 1, 1], []]",10
detr,1,,aten::add,"[[1, 512, 50, 68], [1, 512, 1, 1], []]",2
detr,1,,aten::add,"[[1, 64, 1, 1], [], []]",14
detr,1,,aten::add,"[[1, 64, 200, 272], [1, 64, 1, 1], []]",12
detr,1,,aten::add,"[[1, 64, 400, 544], [1, 64, 1, 1], []]",2
detr,1,,aten::add,"[[1, 8, 100, 850], [1, 1, 100, 850], []]",12
detr,1,,aten::add,"[[1, 8, 850, 850], [1, 1, 850, 850], []]",12
detr,1,,aten::add,"[[1, 850, 256], [1, 850, 256], []]",48
detr,1,,aten::add_,"[[1, 1024, 50, 68], [1, 1024, 50, 68], []]",12
detr,1,,aten::add_,"[[1, 2048, 25, 34], [1, 2048, 25, 34], []]",6
detr,1,,aten::add_,"[[1, 256, 200, 272], [1, 256, 200, 272], []]",6
detr,1,,aten::add_,"[[1, 256, 25, 34], [1, 256, 1, 1], []]",2
detr,1,,aten::add_,"[[1, 512, 100, 136], [1, 512, 100, 136], []]",8
detr,1,,aten::add_,"[[1, 850, 256], [256], []]",6
detr,1,,aten::arange,"[[], [], [], [0]]",8
detr,1,,aten::arange,"[[], [], [], [], []]",8
detr,1,,aten::cat,"[[], []]",24
detr,1,,aten::contiguous,"[[1, 8, 100, 32], []]",48
detr,1,,aten::contiguous,"[[1, 8, 850, 32], []]",60
detr,1,,aten::contiguous,"[[1, 850, 256], []]",2
detr,1,,aten::cos,"[[1, 100, 136, 64]]",4
detr,1,,aten::cos,"[[1, 200, 272, 64]]",4
detr,1,,aten::cos,"[[1, 25, 34, 64]]",4
detr,1,,aten::cos,"[[1, 50, 68, 64]]",4
detr,1,,aten::cumsum,"[[1, 100, 136], [], []]",4
detr,1,,aten::cumsum,"[[1, 200, 272], [], []]",4
detr,1,,aten::cumsum,"[[1, 25, 34], [], []]",4
detr,1,,aten::cumsum,"[[1, 50, 68], [], []]",4
detr,1,,aten::div,"[[1, 100, 136, 1], [128]]",4
detr,1,,aten::div,"[[1, 100, 136], [1, 1, 136]]",2
detr,1,,aten::div,"[[1, 100, 136], [1, 100, 1]]",2
detr,1,,aten::div,"[[1, 200, 272, 1], [128]]",4
detr,1,,aten::div,"[[1, 200, 272], [1, 1, 272]]",2
detr,1,,aten::div,"[[1, 200, 272], [1, 200, 1]]",2
