op_name,shape,count
aten::__and__,"[[0], [0]]",100
aten::__and__,"[[4507], [4507]]",100
aten::adaptive_avg_pool1d,"[[1, 1024, 850], []]",2
aten::adaptive_avg_pool2d,"[[1, 768, 7, 7], []]",100
aten::adaptive_avg_pool2d,"[[2, 768, 7, 7], []]",100
aten::adaptive_avg_pool2d,"[[4, 768, 7, 7], []]",100
aten::adaptive_avg_pool2d,"[[8, 768, 7, 7], []]",100
aten::adaptive_avg_pool2d,"[[1, 1024, 7, 7], []]",50
aten::adaptive_avg_pool2d,"[[2, 1024, 7, 7], []]",50
aten::adaptive_avg_pool2d,"[[4, 1024, 7, 7], []]",50
aten::adaptive_avg_pool2d,"[[8, 1024, 7, 7], []]",50
aten::add,"[[1, 257, 1280], [1, 257, 1280], []]",3250
aten::add,"[[2, 257, 1280], [2, 257, 1280], []]",3200
aten::add,"[[4, 257, 1280], [4, 257, 1280], []]",3200
aten::add,"[[8, 257, 1280], [8, 257, 1280], []]",3200
aten::add,"[[1, 197, 1024], [1, 197, 1024], []]",2450
aten::add,"[[1, 14, 14, 384], [1, 14, 14, 384], []]",2400
aten::add,"[[2, 14, 14, 384], [2, 14, 14, 384], []]",2400
aten::add,"[[2, 197, 1024], [2, 197, 1024], []]",2400
aten::add,"[[4, 14, 14, 384], [4, 14, 14, 384], []]",2400
aten::add,"[[4, 197, 1024], [4, 197, 1024], []]",2400
aten::add,"[[8, 14, 14, 384], [8, 14, 14, 384], []]",2400
aten::add,"[[8, 197, 1024], [8, 197, 1024], []]",2400
aten::add,"[[1, 14, 14, 512], [1, 14, 14, 512], []]",1800
aten::add,"[[2, 14, 14, 512], [2, 14, 14, 512], []]",1800
aten::add,"[[4, 14, 14, 512], [4, 14, 14, 512], []]",1800
aten::add,"[[8, 14, 14, 512], [8, 14, 14, 512], []]",1800
aten::add,"[[1, 256, 1, 1], [], []]",1632
aten::add,"[[1, 197, 768], [1, 197, 768], []]",1250
aten::add,"[[16, 12, 49, 49], [1, 12, 49, 49], []]",1200
aten::add,"[[2, 197, 768], [2, 197, 768], []]",1200
aten::add,"[[32, 12, 49, 49], [1, 12, 49, 49], []]",1200
aten::add,"[[4, 12, 49, 49], [1, 12, 49, 49], []]",1200
aten::add,"[[4, 197, 768], [4, 197, 768], []]",1200
aten::add,"[[8, 12, 49, 49], [1, 12, 49, 49], []]",1200
aten::add,"[[8, 197, 768], [8, 197, 768], []]",1200
aten::add,"[[1, 512, 1, 1], [], []]",1122
aten::add,"[[1, 256, 50, 50], [1, 256, 1, 1], []]",1100
aten::add,"[[16, 16, 49, 49], [1, 16, 49, 49], []]",900
aten::add,"[[32, 16, 49, 49], [1, 16, 49, 49], []]",900
aten::add,"[[4, 16, 49, 49], [1, 16, 49, 49], []]",900
aten::add,"[[8, 16, 49, 49], [1, 16, 49, 49], []]",900
aten::add,"[[1, 128, 1, 1], [], []]",816
aten::add,"[[1, 512, 1600], [1, 512, 1600], []]",776
aten::add,"[[1, 1024, 1, 1], [], []]",714
aten::add,"[[1, 64, 1, 1], [], []]",714
aten::add,"[[1, 1024, 50, 50], [1, 1024, 1, 1], []]",700
aten::add,"[[1, 128, 100, 100], [1, 128, 1, 1], []]",700
aten::add,"[[1, 4, 12, 49, 49], [1, 4, 1, 49, 49], []]",600
aten::add,"[[1, 64, 200, 200], [1, 64, 1, 1], []]",600
aten::add,"[[2, 4, 12, 49, 49], [1, 4, 1, 49, 49], []]",600
aten::add,"[[4, 4, 12, 49, 49], [1, 4, 1, 49, 49], []]",600
aten::add,"[[8, 4, 12, 49, 49], [1, 4, 1, 49, 49], []]",600
aten::add,"[[1, 256, 1280], [1, 256, 1280], []]",584
aten::add,"[[1, 2049, 1], [], []]",520
aten::add,"[[1, 2049, 4096], [1, 2049, 4096], []]",512
aten::add,"[[1, 32, 2049, 128], [1, 32, 2049, 128], []]",512
aten::add,"[[1, 512, 100, 100], [1, 512, 1, 1], []]",500
aten::add,"[[1, 512, 25, 25], [1, 512, 1, 1], []]",500
aten::add,"[[1, 4, 16, 49, 49], [1, 4, 1, 49, 49], []]",450
aten::add,"[[2, 4, 16, 49, 49], [1, 4, 1, 49, 49], []]",450
aten::add,"[[4, 4, 16, 49, 49], [1, 4, 1, 49, 49], []]",450
aten::add,"[[8, 4, 16, 49, 49], [1, 4, 1, 49, 49], []]",450
aten::add,"[[1, 2048, 1, 1], [], []]",408
aten::add,"[[0], [0], []]",400
aten::add,"[[1, 1000], [], []]",400
aten::add,"[[1, 2048, 25, 25], [1, 2048, 1, 1], []]",400
aten::add,"[[1, 256, 200, 200], [1, 256, 1, 1], []]",400
aten::add,"[[1, 28, 28, 192], [1, 28, 28, 192], []]",400
aten::add,"[[1, 56, 56, 96], [1, 56, 56, 96], []]",400
aten::add,"[[1, 7, 7, 768], [1, 7, 7, 768], []]",400
aten::add,"[[159882, 1], [159882, 1], []]",400
aten::add,"[[2, 28, 28, 192], [2, 28, 28, 192], []]",400
aten::add,"[[2, 56, 56, 96], [2, 56, 56, 96], []]",400
aten::add,"[[2, 7, 7, 768], [2, 7, 7, 768], []]",400
aten::add,"[[4, 28, 28, 192], [4, 28, 28, 192], []]",400
aten::add,"[[4, 56, 56, 96], [4, 56, 56, 96], []]",400
aten::add,"[[4, 7, 7, 768], [4, 7, 7, 768], []]",400
aten::add,"[[8, 28, 28, 192], [8, 28, 28, 192], []]",400
aten::add,"[[8, 56, 56, 96], [8, 56, 56, 96], []]",400
aten::add,"[[8, 7, 7, 768], [8, 7, 7, 768], []]",400
aten::add,"[[1, 512, 6400], [1, 512, 6400], []]",384
