Benchmark,Config,Vector Length,Cycles,Utilization
sz_gemm,m32_n32_k64_fp64_vec_base,4.0,74853,0.21888234272507448
sz_gemm,m32_n32_k64_fp64_vec_base,8.0,37439,0.4376185261358476
sz_gemm,m32_n32_k64_fp64_vec_base,16.0,18870,0.8682564917859036
sz_gemm,m32_n32_k64_fp64_vec_base,32.0,16711,0.9804320507450183
sz_gemm,m32_n32_k64_fp64_vec_frep,4.0,38121,0.42978935494871595
sz_gemm,m32_n32_k64_fp64_vec_frep,8.0,19459,0.8419754355311168
sz_gemm,m32_n32_k64_fp64_vec_frep,16.0,17286,0.9478190443133171
sz_gemm,m32_n32_k64_fp64_vec_frep,32.0,16712,0.9803733843944471
sz_gemm,m32_n32_k64_fp64_baseline,4.0,74853,0.21888234272507448
sz_gemm,m32_n32_k64_fp64_baseline,8.0,37439,0.4376185261358476
sz_gemm,m32_n32_k64_fp64_baseline,16.0,24962,0.6563576636487461
sz_gemm,m32_n32_k64_fp64_baseline,32.0,18691,0.8765716120057782
